epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,f1
1,0.09123987674457894,0.9720125,0.05097332811703236,0.9860833333333333,0.9923692473917007,0.9797,0.9859939279064697
2,0.04322520107152547,0.9888625,0.052069831435113643,0.9877166666666667,0.9878955617059588,0.9875333333333334,0.9877144143092901
3,0.025589230733588982,0.9939125,0.0622839596017179,0.9891166666666666,0.9887419644938881,0.9895,0.9891208370124787
4,0.015372129512571124,0.9966083333333333,0.0746208566607124,0.9877,0.9856279872543813,0.9898333333333333,0.9877261841405002
5,0.008875717857469378,0.9981041666666667,0.08802051676253105,0.9884333333333334,0.9908220004019562,0.986,0.9884051191231998
6,0.005868632959123049,0.9988291666666667,0.09400541180876856,0.9890666666666666,0.9891318842512336,0.989,0.989065937729182
7,0.003745293276197829,0.9992625,0.09382485689867784,0.9895833333333334,0.991763484782536,0.9873666666666666,0.9895601917583977
8,0.0024451433799816793,0.9995291666666667,0.09449350119516235,0.9899,0.9917358137044968,0.9880333333333333,0.9898811114079616
9,0.0014596294901547443,0.9997208333333333,0.10296367177393646,0.99,0.9914744232698094,0.9885,0.9899849774661994
10,0.0008581748735121474,0.9998541666666667,0.10426516446893798,0.9899666666666667,0.990489855846236,0.9894333333333334,0.9899613127001068
