model,acc,prec,rec,f1,auc
C0 (MobileNet+SVM),0.5007831337716134,0.49303146744210197,0.496839417280643,0.4949281179303802,0.5015450353289304
C1 (BERT),0.9885415163942872,0.9898799025783153,0.9868134628265238,0.9883443042220452,0.9978335162732899
Fusion (Final),0.9885724295694825,0.9901480936876379,0.9866041527126591,0.988372946393936,0.993977209166082
